contrast,.value,.lower,.upper,.width,.point,.interval,first,second
again - know,-0.9532449108260024,-1.2002998476534996,-0.6986042225727132,0.95,mean,hdi,again,know
again - pretend,-1.4344157657296788,-1.6674608813288343,-1.1847423711371965,0.95,mean,hdi,again,pretend
again - prove,-1.7221813385423017,-1.9562260731837104,-1.4870317513427074,0.95,mean,hdi,again,prove
again - reveal,-1.79994872236758,-2.0386556124431685,-1.5600430612238088,0.95,mean,hdi,again,reveal
again - say,-2.5491214058575045,-2.810002980062715,-2.303591914531867,0.95,mean,hdi,again,say
again - see,-1.5958013627547836,-1.84699620109668,-1.3474916998049038,0.95,mean,hdi,again,see
again - stop,-0.18355064269611743,-0.35463438070747777,-0.00565925352793491,0.95,mean,hdi,again,stop
again - suggest,-2.374248306476417,-2.623706042357097,-2.126090208802266,0.95,mean,hdi,again,suggest
again - think,-2.4682195574846784,-2.735266804386904,-2.224599348731428,0.95,mean,hdi,again,think
again - too,0.17404777246265532,-0.0072026615509178,0.3545438173066918,0.95,mean,hdi,again,too
also - announce,-2.0860339336123133,-2.334870280717391,-1.854883448369911,0.95,mean,hdi,also,announce
also - be annoyed,-0.28993033066276297,-0.5454193559057433,-0.05177956868766255,0.95,mean,hdi,also,be annoyed
also - be right,-2.0291530591829168,-2.2656226656754015,-1.7717994098929128,0.95,mean,hdi,also,be right
also - cleft,-0.8568913843591475,-1.0253651784812583,-0.6817228584180314,0.95,mean,hdi,also,cleft
also - confess,-1.7043453662699355,-1.949348556609504,-1.4695775619055556,0.95,mean,hdi,also,confess
also - confirm,-2.396473020340395,-2.6432676167277576,-2.1567681049448506,0.95,mean,hdi,also,confirm
also - demonstrate,-1.4790013055036897,-1.7140878073047978,-1.2333348335303411,0.95,mean,hdi,also,demonstrate
also - discover,-1.6123190961054268,-1.8595104989772335,-1.368051094430487,0.95,mean,hdi,also,discover
also - establish,-2.1197733243431665,-2.3643649277983,-1.8761906882337696,0.95,mean,hdi,also,establish
also - hear,-1.9105715337261884,-2.158607466607803,-1.6471606612322576,0.95,mean,hdi,also,hear
also - inform,-1.5486890704027518,-1.788876845522065,-1.2976487405472166,0.95,mean,hdi,also,inform
also - know,-1.042875732251566,-1.2898419121956142,-0.7866170599968435,0.95,mean,hdi,also,know
also - pretend,-1.5240465871552422,-1.7657996227082546,-1.2775843339283974,0.95,mean,hdi,also,pretend
also - prove,-1.8118121599678652,-2.050727532630198,-1.5757568793445846,0.95,mean,hdi,also,prove
also - reveal,-1.8895795437931435,-2.125652292528998,-1.6510503714011344,0.95,mean,hdi,also,reveal
also - say,-2.638752227283068,-2.8878845065591294,-2.378124679392241,0.95,mean,hdi,also,say
also - see,-1.6854321841803472,-1.92766423462695,-1.4331946362251209,0.95,mean,hdi,also,see
also - stop,-0.27318146412168104,-0.45138181589473536,-0.09956224549915237,0.95,mean,hdi,also,stop
also - suggest,-2.4638791279019805,-2.723923984691063,-2.2197867208706525,0.95,mean,hdi,also,suggest
also - think,-2.557850378910242,-2.805914103388973,-2.299114934013468,0.95,mean,hdi,also,think
also - too,0.08441695103709179,-0.09543335605544973,0.263565901603546,0.95,mean,hdi,also,too
announce - be annoyed,1.7961036029495503,1.5887011270840674,2.0065849398683655,0.95,mean,hdi,announce,be annoyed
announce - be right,0.05688087442939638,-0.13531665608478832,0.2635801090400581,0.95,mean,hdi,announce,be right
announce - cleft,1.2291425492531658,1.0146818626422722,1.4819916503774953,0.95,mean,hdi,announce,cleft
announce - confess,0.38168856734237777,0.1992374164453087,0.5790987355314744,0.95,mean,hdi,announce,confess
announce - confirm,-0.31043908672808174,-0.5208597221999827,-0.12480678613570798,0.95,mean,hdi,announce,confirm
announce - demonstrate,0.6070326281086236,0.41905769320163017,0.8027083240598728,0.95,mean,hdi,announce,demonstrate
announce - discover,0.4737148375068865,0.26792938341126227,0.66166655095148,0.95,mean,hdi,announce,discover
announce - establish,-0.03373939073085332,-0.23398394117785995,0.15678650066891672,0.95,mean,hdi,announce,establish
announce - hear,0.17546239988612491,-0.03035294442622788,0.37950460549042814,0.95,mean,hdi,announce,hear
announce - inform,0.5373448632095614,0.34036162720014385,0.7330687128011742,0.95,mean,hdi,announce,inform
announce - know,1.0431582013607472,0.8360788472075444,1.2539967704962218,0.95,mean,hdi,announce,know
announce - pretend,0.5619873464570709,0.35676680056145704,0.7529760183375945,0.95,mean,hdi,announce,pretend
announce - prove,0.27422177364444805,0.08770964960379435,0.46291245679519993,0.95,mean,hdi,announce,prove
announce - reveal,0.19645438981916963,0.00321375005444203,0.3906307593692104,0.95,mean,hdi,announce,reveal
announce - say,-0.552718293670755,-0.760751186178423,-0.34098833850327315,0.95,mean,hdi,announce,say
announce - see,0.4006017494319661,0.20400468306367156,0.6094420762312509,0.95,mean,hdi,announce,see
announce - stop,1.8128524694906325,1.5836142209849466,2.05320776231234,0.95,mean,hdi,announce,stop
announce - suggest,-0.3778451942896671,-0.5833253795950721,-0.1858278729161929,0.95,mean,hdi,announce,suggest
announce - think,-0.4718164452979288,-0.6784982167371009,-0.26234999257750047,0.95,mean,hdi,announce,think
announce - too,2.170450884649405,1.936177678593951,2.4267375565918328,0.95,mean,hdi,announce,too
be annoyed - be right,-1.739222728520154,-1.9458332331667327,-1.5281733753381557,0.95,mean,hdi,be annoyed,be right
be annoyed - cleft,-0.5669610536963845,-0.8138367709398173,-0.33248560558279844,0.95,mean,hdi,be annoyed,cleft
be annoyed - confess,-1.4144150356071723,-1.6195336371277826,-1.210966420463082,0.95,mean,hdi,be annoyed,confess
be annoyed - confirm,-2.106542689677632,-2.3156602746348613,-1.895884283347791,0.95,mean,hdi,be annoyed,confirm
be annoyed - demonstrate,-1.1890709748409267,-1.404703783165972,-0.989375735892036,0.95,mean,hdi,be annoyed,demonstrate
be annoyed - discover,-1.3223887654426638,-1.5321235103319846,-1.1150868310130126,0.95,mean,hdi,be annoyed,discover
be annoyed - establish,-1.8298429936804037,-2.0396156330121356,-1.6200706481373781,0.95,mean,hdi,be annoyed,establish
be annoyed - hear,-1.6206412030634254,-1.8523953331149112,-1.4105307881823617,0.95,mean,hdi,be annoyed,hear
be annoyed - inform,-1.2587587397399889,-1.4734031067801865,-1.0518677431467276,0.95,mean,hdi,be annoyed,inform
be annoyed - know,-0.7529454015888031,-0.9713999675805304,-0.5348984781158553,0.95,mean,hdi,be annoyed,know
be annoyed - pretend,-1.2341162564924797,-1.4411592877942776,-1.0230588977461004,0.95,mean,hdi,be annoyed,pretend
be annoyed - prove,-1.5218818293051022,-1.7230331155547889,-1.3180723319466614,0.95,mean,hdi,be annoyed,prove
be annoyed - reveal,-1.5996492131303806,-1.8043375994780837,-1.4008706132087754,0.95,mean,hdi,be annoyed,reveal
be annoyed - say,-2.348821896620305,-2.568024844862771,-2.127295229266843,0.95,mean,hdi,be annoyed,say
be annoyed - see,-1.3955018535175845,-1.6179086524007766,-1.1813794737808496,0.95,mean,hdi,be annoyed,see
be annoyed - stop,0.01674886654108188,-0.22958501568391448,0.26503510729762697,0.95,mean,hdi,be annoyed,stop
be annoyed - suggest,-2.1739487972392175,-2.396377074087389,-1.967997945168614,0.95,mean,hdi,be annoyed,suggest
be annoyed - think,-2.267920048247479,-2.488466497149723,-2.0463580927682736,0.95,mean,hdi,be annoyed,think
be annoyed - too,0.37434728169985465,0.1259467167306918,0.6278412144009753,0.95,mean,hdi,be annoyed,too
be right - cleft,1.1722616748237695,0.9361224319860202,1.4100225923331986,0.95,mean,hdi,be right,cleft
be right - confess,0.32480769291298145,0.1321212446216332,0.5247378310981593,0.95,mean,hdi,be right,confess
be right - confirm,-0.36731996115747806,-0.5647342996810725,-0.154119487501744,0.95,mean,hdi,be right,confirm
be right - demonstrate,0.5501517536792273,0.3483194857176816,0.7444147764495174,0.95,mean,hdi,be right,demonstrate
be right - discover,0.41683396307749015,0.20778379423338073,0.6069940934042788,0.95,mean,hdi,be right,discover
be right - establish,-0.0906202651602496,-0.2864026566515772,0.1014283670655829,0.95,mean,hdi,be right,establish
be right - hear,0.11858152545672858,-0.0930854010739823,0.33616859958900236,0.95,mean,hdi,be right,hear
be right - inform,0.4804639887801651,0.27610487022197605,0.6872100441480318,0.95,mean,hdi,be right,inform
be right - know,0.986277326931351,0.7597005779862658,1.1891233112219854,0.95,mean,hdi,be right,know
be right - pretend,0.5051064720276747,0.30704112841479625,0.7032475660742541,0.95,mean,hdi,be right,pretend
be right - prove,0.2173408992150518,0.017993846890654,0.4068331716039771,0.95,mean,hdi,be right,prove
be right - reveal,0.1395735153897734,-0.05602666636335614,0.3365599873074968,0.95,mean,hdi,be right,reveal
be right - say,-0.6095991681001512,-0.8195406207612483,-0.3932905112896661,0.95,mean,hdi,be right,say
be right - see,0.34372087500256976,0.13884242443844816,0.5521615317245699,0.95,mean,hdi,be right,see
be right - stop,1.755971595061236,1.516980824521612,1.995175939610162,0.95,mean,hdi,be right,stop
be right - suggest,-0.4347260687190635,-0.6388887564848229,-0.2295626460715655,0.95,mean,hdi,be right,suggest
be right - think,-0.5286973197273251,-0.7352439997242735,-0.3210100925113117,0.95,mean,hdi,be right,think
be right - too,2.113570010220009,1.865615230214537,2.3592431222020824,0.95,mean,hdi,be right,too
cleft - confess,-0.847453981910788,-1.0763816485885709,-0.618580998679682,0.95,mean,hdi,cleft,confess
cleft - confirm,-1.5395816359812475,-1.7700081546616488,-1.3006824803656276,0.95,mean,hdi,cleft,confirm
cleft - demonstrate,-0.6221099211445422,-0.847553330530696,-0.3928954947030025,0.95,mean,hdi,cleft,demonstrate
cleft - discover,-0.7554277117462793,-0.9787283943655652,-0.5142887125340246,0.95,mean,hdi,cleft,discover
cleft - establish,-1.2628819399840192,-1.4796976987584995,-1.02424894340272,0.95,mean,hdi,cleft,establish
cleft - hear,-1.053680149367041,-1.3033463963714478,-0.8144381090191233,0.95,mean,hdi,cleft,hear
cleft - inform,-0.6917976860436044,-0.931273361950152,-0.4585332163734304,0.95,mean,hdi,cleft,inform
cleft - know,-0.1859843478924185,-0.4246985159695581,0.06559744434538818,0.95,mean,hdi,cleft,know
cleft - pretend,-0.6671552027960949,-0.9072515306349966,-0.44309289758492065,0.95,mean,hdi,cleft,pretend
cleft - prove,-0.9549207756087176,-1.1788891819622251,-0.7256791013399339,0.95,mean,hdi,cleft,prove
cleft - reveal,-1.032688159433996,-1.262979008462649,-0.8010335842654331,0.95,mean,hdi,cleft,reveal
cleft - say,-1.7818608429239209,-2.017967480286507,-1.5395807468082936,0.95,mean,hdi,cleft,say
cleft - see,-0.8285407998211997,-1.0607319384493736,-0.5824199077178742,0.95,mean,hdi,cleft,see
cleft - stop,0.5837099202374665,0.4162105058689776,0.7499903171137621,0.95,mean,hdi,cleft,stop
cleft - suggest,-1.606987743542833,-1.8394374376796825,-1.3685721559764097,0.95,mean,hdi,cleft,suggest
cleft - think,-1.7009589945510946,-1.9459082859651025,-1.4607050371971495,0.95,mean,hdi,cleft,think
cleft - too,0.9413083353962391,0.7684165855376308,1.1164391425000888,0.95,mean,hdi,cleft,too
confess - confirm,-0.6921276540704595,-0.8871290119197389,-0.498019264023396,0.95,mean,hdi,confess,confirm
confess - demonstrate,0.2253440607662458,0.0376353341255577,0.4101186733430181,0.95,mean,hdi,confess,demonstrate
confess - discover,0.09202627016450868,-0.10732702573651004,0.2815352468926187,0.95,mean,hdi,confess,discover
confess - establish,-0.4154279580732311,-0.6123741965723642,-0.2404830802617847,0.95,mean,hdi,confess,establish
confess - hear,-0.20622616745625288,-0.4069626663861622,-0.00271044170462576,0.95,mean,hdi,confess,hear
confess - inform,0.1556562958671836,-0.03194700425256269,0.35563727972968595,0.95,mean,hdi,confess,inform
confess - know,0.6614696340183696,0.45427670441726464,0.8733073204857115,0.95,mean,hdi,confess,know
confess - pretend,0.1802987791146932,-0.0119343400412207,0.3737211614465111,0.95,mean,hdi,confess,pretend
confess - prove,-0.10746679369792966,-0.2914904106583768,0.078955498318842507,0.95,mean,hdi,confess,prove
confess - reveal,-0.18523417752320812,-0.3622226894978338,0.00484681685264809,0.95,mean,hdi,confess,reveal
confess - say,-0.9344068610131328,-1.1421279083913969,-0.728035140157268,0.95,mean,hdi,confess,say
confess - see,0.01891318208958831,-0.18309202419540116,0.21707543599787732,0.95,mean,hdi,confess,see
confess - stop,1.4311639021482545,1.1937668192841209,1.663255392655881,0.95,mean,hdi,confess,stop
confess - suggest,-0.759533761632045,-0.9539086153785888,-0.56028266793113,0.95,mean,hdi,confess,suggest
confess - think,-0.8535050126403065,-1.0662464287058848,-0.6598696810535655,0.95,mean,hdi,confess,think
confess - too,1.7887623173070273,1.551459640364636,2.030158099312182,0.95,mean,hdi,confess,too
confirm - demonstrate,0.9174717148367052,0.7209488358544608,1.1164718063671808,0.95,mean,hdi,confirm,demonstrate
confirm - discover,0.7841539242349682,0.5935784384585086,0.995514334701715,0.95,mean,hdi,confirm,discover
confirm - establish,0.2766996959972284,0.08192040578262809,0.4705674037965028,0.95,mean,hdi,confirm,establish
confirm - hear,0.4859014866142066,0.2685550376306373,0.6925156467489458,0.95,mean,hdi,confirm,hear
confirm - inform,0.8477839499376432,0.6444715955029755,1.0468452700943918,0.95,mean,hdi,confirm,inform
confirm - know,1.353597288088829,1.1514850478588627,1.5799576467722831,0.95,mean,hdi,confirm,know
confirm - pretend,0.8724264331851527,0.6767607628423845,1.0774068078378762,0.95,mean,hdi,confirm,pretend
confirm - prove,0.5846608603725298,0.3907103079308536,0.7808558241251017,0.95,mean,hdi,confirm,prove
confirm - reveal,0.5068934765472515,0.3242006526446616,0.70967849763052,0.95,mean,hdi,confirm,reveal
confirm - say,-0.24227920694267324,-0.4546688799216641,-0.02709509830249292,0.95,mean,hdi,confirm,say
confirm - see,0.7110408361600479,0.5114906026702303,0.9186539347274474,0.95,mean,hdi,confirm,see
confirm - stop,2.123291556218714,1.884433356393957,2.3653848698411406,0.95,mean,hdi,confirm,stop
confirm - suggest,-0.06740610756158547,-0.2638716461682465,0.13569047165609693,0.95,mean,hdi,confirm,suggest
confirm - think,-0.16137735856984703,-0.3777078622688097,0.0375014910726534,0.95,mean,hdi,confirm,think
confirm - too,2.480889971377487,2.222058941801057,2.715452961139192,0.95,mean,hdi,confirm,too
continue - acknowledge,-1.6570091335253958,-1.8996331915703957,-1.4101716614824076,0.95,mean,hdi,continue,acknowledge
continue - admit,-1.8024786010083729,-2.041694479637744,-1.5671552683689116,0.95,mean,hdi,continue,admit
continue - again,-0.14514158177107916,-0.3265431390135251,0.03759812134638612,0.95,mean,hdi,continue,again
continue - also,-0.05551076034551561,-0.24152601572244647,0.1259508135707117,0.95,mean,hdi,continue,also
continue - announce,-2.141544693957829,-2.382482822178902,-1.894159687327699,0.95,mean,hdi,continue,announce
continue - be annoyed,-0.3454410910082786,-0.6077637846074794,-0.1034569226021696,0.95,mean,hdi,continue,be annoyed
continue - be right,-2.0846638195284326,-2.337168076749875,-1.8399129994709935,0.95,mean,hdi,continue,be right
continue - cleft,-0.9124021447046632,-1.0983041635689508,-0.7435908258173929,0.95,mean,hdi,continue,cleft
continue - confess,-1.759856126615451,-2.001850955320576,-1.519532098906067,0.95,mean,hdi,continue,confess
continue - confirm,-2.451983780685911,-2.6987705728445315,-2.2046365953183984,0.95,mean,hdi,continue,confirm
continue - demonstrate,-1.5345120658492053,-1.7806147569707784,-1.2963817085808995,0.95,mean,hdi,continue,demonstrate
continue - discover,-1.6678298564509424,-1.9115593978350496,-1.4220389699404052,0.95,mean,hdi,continue,discover
continue - establish,-2.1752840846886823,-2.4256077150009863,-1.9364901244086257,0.95,mean,hdi,continue,establish
continue - hear,-1.966082294071704,-2.224212926478365,-1.7130312707294382,0.95,mean,hdi,continue,hear
continue - inform,-1.6041998307482674,-1.8587333734412723,-1.3617744407510486,0.95,mean,hdi,continue,inform
continue - know,-1.0983864925970817,-1.3523693115208038,-0.8408044229978158,0.95,mean,hdi,continue,know
continue - pretend,-1.5795573475007578,-1.8248303212853296,-1.3331643032669205,0.95,mean,hdi,continue,pretend
continue - prove,-1.8673229203133808,-2.124890560313439,-1.6426151421139594,0.95,mean,hdi,continue,prove
continue - reveal,-1.9450903041386591,-2.1860124740282716,-1.7110546505544943,0.95,mean,hdi,continue,reveal
continue - say,-2.694262987628584,-2.946171553991625,-2.4405610889005516,0.95,mean,hdi,continue,say
continue - see,-1.7409429445258628,-1.9914760011823611,-1.4877739873371951,0.95,mean,hdi,continue,see
continue - stop,-0.3286922244671966,-0.5031312424741138,-0.14935607792512978,0.95,mean,hdi,continue,stop
continue - suggest,-2.519389888247496,-2.773439402499117,-2.27185573535174,0.95,mean,hdi,continue,suggest
continue - think,-2.613361139255758,-2.865959631688755,-2.3623010258293835,0.95,mean,hdi,continue,think
continue - too,0.02890619069157617,-0.1531317513657054,0.21454436243738137,0.95,mean,hdi,continue,too
demonstrate - discover,-0.13331779060173707,-0.3125075700526123,0.07223258147564454,0.95,mean,hdi,demonstrate,discover
demonstrate - establish,-0.6407720188394769,-0.826176551078343,-0.4496969702918702,0.95,mean,hdi,demonstrate,establish
demonstrate - hear,-0.4315702282224987,-0.6337461851361632,-0.22469187444979455,0.95,mean,hdi,demonstrate,hear
demonstrate - inform,-0.06968776489906223,-0.2610596902219491,0.11878952836846686,0.95,mean,hdi,demonstrate,inform
demonstrate - know,0.4361255732521237,0.22400579810379032,0.6409558046974146,0.95,mean,hdi,demonstrate,know
demonstrate - pretend,-0.04504528165155264,-0.23470569592556476,0.15860491329316084,0.95,mean,hdi,demonstrate,pretend
demonstrate - prove,-0.3328108544641755,-0.525560147278344,-0.15587866606496972,0.95,mean,hdi,demonstrate,prove
demonstrate - reveal,-0.4105782382894539,-0.5998132844996372,-0.21509667910838323,0.95,mean,hdi,demonstrate,reveal
demonstrate - say,-1.1597509217793789,-1.3688941142643036,-0.956855511907677,0.95,mean,hdi,demonstrate,say
demonstrate - see,-0.2064308786766575,-0.4093165333852369,-0.00841671140269049,0.95,mean,hdi,demonstrate,see
demonstrate - stop,1.2058198413820087,0.9744821946544692,1.4452270497667394,0.95,mean,hdi,demonstrate,stop
demonstrate - suggest,-0.9848778223982908,-1.192563840211743,-0.7975297146092772,0.95,mean,hdi,demonstrate,suggest
demonstrate - think,-1.0788490734065523,-1.2836887173903766,-0.8793624809651974,0.95,mean,hdi,demonstrate,think
demonstrate - too,1.5634182565407817,1.3236089395703194,1.806342766252732,0.95,mean,hdi,demonstrate,too
discover - establish,-0.5074542282377398,-0.6959842259306624,-0.3101720169605365,0.95,mean,hdi,discover,establish
discover - hear,-0.2982524376207616,-0.518835902842497,-0.09016698443399455,0.95,mean,hdi,discover,hear
discover - inform,0.06363002570267497,-0.12704950270746806,0.2745927071585786,0.95,mean,hdi,discover,inform
discover - know,0.5694433638538609,0.3475280530344107,0.7681312775953274,0.95,mean,hdi,discover,know
discover - pretend,0.08827250895018449,-0.10285379912016882,0.2888350151218994,0.95,mean,hdi,discover,pretend
discover - prove,-0.1994930638624384,-0.3921549973861882,-0.01270078928910883,0.95,mean,hdi,discover,prove
discover - reveal,-0.2772604476877168,-0.4694388433015214,-0.08339643542786424,0.95,mean,hdi,discover,reveal
discover - say,-1.0264331311776416,-1.2352309107978463,-0.8088067826048858,0.95,mean,hdi,discover,say
discover - see,-0.0731130880749204,-0.2876457021824689,0.12325182490629492,0.95,mean,hdi,discover,see
discover - stop,1.3391376319837458,1.1091541375779042,1.591019845289208,0.95,mean,hdi,discover,stop
discover - suggest,-0.8515600317965537,-1.054159293467183,-0.6468147388326239,0.95,mean,hdi,discover,suggest
discover - think,-0.9455312828048152,-1.1539519361803818,-0.7364619113789435,0.95,mean,hdi,discover,think
discover - too,1.6967360471425186,1.4596453129098386,1.9416808776897616,0.95,mean,hdi,discover,too
establish - hear,0.20920179061697824,0.00600427556478944,0.4140936058839864,0.95,mean,hdi,establish,hear
establish - inform,0.5710842539404147,0.3801082102133092,0.7669908136542493,0.95,mean,hdi,establish,inform
establish - know,1.0768975920916006,0.8651029616267357,1.270856233766012,0.95,mean,hdi,establish,know
establish - pretend,0.5957267371879242,0.40189389661677777,0.7872441372409806,0.95,mean,hdi,establish,pretend
establish - prove,0.30796116437530136,0.12157759368048508,0.4895116648709653,0.95,mean,hdi,establish,prove
establish - reveal,0.23019378055002301,0.0498098420532857,0.4212337004771282,0.95,mean,hdi,establish,reveal
establish - say,-0.5189789029399016,-0.721382147661427,-0.3173865054705116,0.95,mean,hdi,establish,say
establish - see,0.4343411401628194,0.22863674454916488,0.6341946560520001,0.95,mean,hdi,establish,see
establish - stop,1.8465918602214857,1.6126427846417684,2.078791764817041,0.95,mean,hdi,establish,stop
establish - suggest,-0.34410580355881387,-0.535612727368791,-0.1460627412866161,0.95,mean,hdi,establish,suggest
establish - think,-0.43807705456707546,-0.629395417965881,-0.22657090968364335,0.95,mean,hdi,establish,think
establish - too,2.2041902753802582,1.957771778914382,2.4364364242533023,0.95,mean,hdi,establish,too
hear - inform,0.3618824633234365,0.15342201171045833,0.568956237077045,0.95,mean,hdi,hear,inform
hear - know,0.8676958014746224,0.6444689016433551,1.094552968481185,0.95,mean,hdi,hear,know
hear - pretend,0.3865249465709461,0.16102216800043834,0.5900081170316027,0.95,mean,hdi,hear,pretend
hear - prove,0.09875937375832318,-0.10039806575610334,0.3038107114168621,0.95,mean,hdi,hear,prove
