contrast,.value,.lower,.upper,.width,.point,.interval,first,second
acknowledge - admit,-0.14546946748297682,-0.3260738956407016,0.03831967341142489,0.95,mean,hdi,acknowledge,admit
acknowledge - again,1.5118675517543168,1.27038520472226,1.7509535764355777,0.95,mean,hdi,acknowledge,again
acknowledge - also,1.6014983731798802,1.367764727094032,1.8480013950595289,0.95,mean,hdi,acknowledge,also
acknowledge - announce,-0.48453556043243295,-0.6854119776465012,-0.2890207929698255,0.95,mean,hdi,acknowledge,announce
acknowledge - be annoyed,1.3115680425171174,1.1139540970584154,1.5261310898259228,0.95,mean,hdi,acknowledge,be annoyed
acknowledge - be right,-0.4276546860030367,-0.6219440988270115,-0.22636356051952805,0.95,mean,hdi,acknowledge,be right
acknowledge - cleft,0.7446069888207328,0.5069254472725415,0.9722413727552744,0.95,mean,hdi,acknowledge,cleft
acknowledge - confess,-0.10284699309005516,-0.29364776586117347,0.08891050285002829,0.95,mean,hdi,acknowledge,confess
acknowledge - confirm,-0.7949746471605147,-0.9900342487866344,-0.5920536403691901,0.95,mean,hdi,acknowledge,confirm
acknowledge - demonstrate,0.12249706767619062,-0.07412873904662436,0.31119907529180973,0.95,mean,hdi,acknowledge,demonstrate
acknowledge - discover,-0.01082072292554648,-0.202556559042514,0.1879589985125544,0.95,mean,hdi,acknowledge,discover
acknowledge - establish,-0.5182749511632863,-0.7075793351681451,-0.3291536691878143,0.95,mean,hdi,acknowledge,establish
acknowledge - hear,-0.30907316054630807,-0.520834717134207,-0.10494011935757835,0.95,mean,hdi,acknowledge,hear
acknowledge - inform,0.05280930277712847,-0.14440879940677473,0.24426958690444223,0.95,mean,hdi,acknowledge,inform
acknowledge - know,0.5586226409283144,0.3508861891157924,0.7701786470135319,0.95,mean,hdi,acknowledge,know
acknowledge - pretend,0.077451786024638,-0.11063282075632733,0.27786628848999795,0.95,mean,hdi,acknowledge,pretend
acknowledge - prove,-0.21031378678798487,-0.40859458843214685,-0.02992680627114906,0.95,mean,hdi,acknowledge,prove
acknowledge - reveal,-0.2880811706132633,-0.4672517826313807,-0.09111894085843762,0.95,mean,hdi,acknowledge,reveal
acknowledge - say,-1.037253854103188,-1.2340819416898747,-0.8242540923493296,0.95,mean,hdi,acknowledge,say
acknowledge - see,-0.08393381100046689,-0.29029331359569976,0.11624744745906344,0.95,mean,hdi,acknowledge,see
acknowledge - stop,1.3283169090581992,1.0825336247632529,1.5592828406174104,0.95,mean,hdi,acknowledge,stop
acknowledge - suggest,-0.8623807547221002,-1.0571666300239482,-0.6588311551904958,0.95,mean,hdi,acknowledge,suggest
acknowledge - think,-0.9563520057303616,-1.1660930929036393,-0.7476670099527092,0.95,mean,hdi,acknowledge,think
acknowledge - too,1.685915324216972,1.4290037122308905,1.917322043727251,0.95,mean,hdi,acknowledge,too
admit - again,1.6573370192372936,1.4286767150996382,1.8976667153381848,0.95,mean,hdi,admit,again
admit - also,1.746967840662857,1.5105052719293726,1.977638752589396,0.95,mean,hdi,admit,also
admit - announce,-0.33906609294945617,-0.5315852507493994,-0.15082702744834503,0.95,mean,hdi,admit,announce
admit - be annoyed,1.457037510000094,1.251717175225781,1.6545146869109044,0.95,mean,hdi,admit,be annoyed
admit - be right,-0.28218521852005984,-0.4784940665104033,-0.09758712245475396,0.95,mean,hdi,admit,be right
admit - cleft,0.8900764563037097,0.6528068759754097,1.104481356455149,0.95,mean,hdi,admit,cleft
admit - confess,0.04262247439292164,-0.14222009860524232,0.22571347091416225,0.95,mean,hdi,admit,confess
admit - confirm,-0.6495051796775378,-0.849873362947572,-0.4678130515464582,0.95,mean,hdi,admit,confirm
admit - demonstrate,0.26796653515916746,0.08413868486981642,0.4490294928168764,0.95,mean,hdi,admit,demonstrate
admit - discover,0.13464874455743034,-0.05279165223541874,0.32176413878351734,0.95,mean,hdi,admit,discover
admit - establish,-0.3728054836803094,-0.55077701983083,-0.1918080007282279,0.95,mean,hdi,admit,establish
admit - hear,-0.16360369306333125,-0.36492596051527393,0.03249713664856402,0.95,mean,hdi,admit,hear
admit - inform,0.1982787702601053,0.00862464037633917,0.382539569420801,0.95,mean,hdi,admit,inform
admit - know,0.7040921084112911,0.4914065781160841,0.89645743933163,0.95,mean,hdi,admit,know
admit - pretend,0.2229212535076148,0.03496824085537642,0.40606072992696574,0.95,mean,hdi,admit,pretend
admit - prove,-0.06484431930500806,-0.24586502457933865,0.1136802628902112,0.95,mean,hdi,admit,prove
admit - reveal,-0.14261170313028648,-0.3263814431114658,0.04162979708937942,0.95,mean,hdi,admit,reveal
admit - say,-0.8917843866202111,-1.0969237336315876,-0.6957269283560069,0.95,mean,hdi,admit,say
admit - see,0.06153565648250994,-0.13127300864020333,0.2628922396385077,0.95,mean,hdi,admit,see
admit - stop,1.473786376541176,1.2424572160477063,1.7038400176810196,0.95,mean,hdi,admit,stop
admit - suggest,-0.7169112872391233,-0.915255633313572,-0.5342768605478797,0.95,mean,hdi,admit,suggest
admit - think,-0.810882538247385,-1.0103240628305008,-0.6171114836597219,0.95,mean,hdi,admit,think
admit - too,1.8313847916999488,1.5986217644390344,2.068848912992144,0.95,mean,hdi,admit,too
again - also,0.08963082142556361,-0.0940759514493782,0.26788733423837047,0.95,mean,hdi,again,also
again - announce,-1.9964031121867496,-2.2399237663149236,-1.7638721191766764,0.95,mean,hdi,again,announce
again - be annoyed,-0.2002995092371994,-0.44802873162530193,0.04612847631589558,0.95,mean,hdi,again,be annoyed
again - be right,-1.939522237757353,-2.182948319856275,-1.6955399919398433,0.95,mean,hdi,again,be right
again - cleft,-0.7672605629335839,-0.9470790996300668,-0.6039990723991497,0.95,mean,hdi,again,cleft
again - confess,-1.6147145448443718,-1.8569197956126968,-1.3779892446550028,0.95,mean,hdi,again,confess
again - confirm,-2.3068421989148313,-2.5498435372982007,-2.062924647307694,0.95,mean,hdi,again,confirm
again - demonstrate,-1.389370484078126,-1.6297892934211993,-1.152026349593423,0.95,mean,hdi,again,demonstrate
again - discover,-1.5226882746798631,-1.767089443870083,-1.279639330183372,0.95,mean,hdi,again,discover
again - establish,-2.0301425029176032,-2.266203898451565,-1.7936774047369584,0.95,mean,hdi,again,establish
again - hear,-1.8209407123006247,-2.0794450918630063,-1.5754458662144817,0.95,mean,hdi,again,hear
again - inform,-1.4590582489771884,-1.6995827735039093,-1.2126987059087604,0.95,mean,hdi,again,inform
