workerid,proliferate.condition,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,error
2879,default,block2,emma,ai,0,1824,announce,47,announce,C,
2879,default,block2,jayden,ai,0,2982,prove,48,prove,C,
2879,default,block2,sophia,ai,0,6052,say,49,say,C,
2879,default,block2,mary,ai,0,2295,be_annoyed,50,be_annoyed,C,
2879,default,block2,zoe,ai,0,2801,admit,51,admit,C,
2879,default,block2,ballet,ai,1,5624,MC,52,MC,MC,
2879,default,block2,jon,ai,0,2632,think,53,think,C,
2879,default,block2,isabella,ai,0,1730,confess,54,confess,C,
2879,default,block2,grace,ai,0,1945,establish,55,establish,C,
2879,default,block2,charley,ai,0,2171,suggest,56,suggest,C,
2879,default,block2,danny,ai,0,1778,hear,57,hear,C,
2912,default,block1,hat,ai,0.81,15392,MC,5,MC,MC,
2912,default,block1,jon,ai,0.14,23840,know,6,know,C,
2912,default,block1,charley,ai,0.12,9281,be_right,7,be_right,C,
2912,default,block1,jackson,ai,0.4,12691,admit,8,admit,C,
2912,default,block1,isabella,ai,0.34,15456,confirm,9,confirm,C,
2912,default,block1,kids,ai,0.13,9390,MC,10,MC,MC,
2912,default,block1,danny,ai,0.57,11067,reveal,11,reveal,C,
2912,default,block1,ballet,ai,0.38,8336,MC,12,MC,MC,
2912,default,block1,emily,ai,0.4,4740,think,13,think,C,
2912,default,block1,garage,ai,0.25,10579,MC,14,MC,MC,
2912,default,block1,owen,ai,0.33,6075,say,15,say,C,
2912,default,block1,zoe,ai,0.6,8522,be_annoyed,16,be_annoyed,C,
2912,default,block1,pizza,ai,0.2,6727,MC,17,MC,MC,
2912,default,block1,olivia,ai,0.61,8361,hear,18,hear,C,
2912,default,block1,mary,ai,0.56,12379,pretend,19,pretend,C,
2912,default,block1,emma,ai,0.5,4816,confess,20,confess,C,
2912,default,block1,sophia,ai,0.38,5857,suggest,21,suggest,C,
2912,default,block1,tony,ai,0.55,13392,establish,22,establish,C,
2912,default,block1,frank,ai,0.39,25014,prove,23,prove,C,
2912,default,block1,josie,ai,0.55,8643,inform,24,inform,C,
2912,default,block1,mia,ai,0.41,9192,demonstrate,25,demonstrate,C,
2912,default,block1,grace,ai,0.35,4849,announce,26,announce,C,
2912,default,block1,julian,ai,0.42,2139,see,27,see,C,
2912,default,block1,jayden,ai,0.52,4207,acknowledge,28,acknowledge,C,
2912,default,block1,muffins,ai,0.7,6669,MC,29,MC,MC,
2912,default,block1,josh,ai,0.41,5920,discover,30,discover,C,
2912,default,block2,isabella,projective,0.37,13147,confirm,32,confirm,C,
2912,default,block2,frank,projective,0.59,5036,prove,33,prove,C,
2912,default,block2,ballet,projective,0.93,3649,MC,34,MC,MC,
2912,default,block2,emily,projective,0.32,2561,think,35,think,C,
2912,default,block2,julian,projective,0.32,3424,see,36,see,C,
2912,default,block2,jayden,projective,0.23,1922,acknowledge,37,acknowledge,C,
2912,default,block2,josh,projective,0.35,2150,discover,38,discover,C,
2912,default,block2,josie,projective,0.37,2906,inform,39,inform,C,
2912,default,block2,owen,projective,0.28,2073,say,40,say,C,
2912,default,block2,danny,projective,0.24,2851,reveal,41,reveal,C,
