age,comments,language,american,workerid
28,,English,Yes,0
57,thanx,english,Yes,1
50,It was interesting,English,Yes,2
29,,English,Yes,3
31,none,English,Yes,4
37,,English,Yes,5
32,thanks,English,Yes,6
25,,English,Yes,7
32,None,English,Yes,8
