contrast,.value,.lower,.upper,.width,.point,.interval
conditional - negation,0.2142487903060007,0.18399591894486111,0.24204329962402532,0.95,mean,hdi
conditional - question,0.1263925261840047,0.0977364973546859,0.15502343423019424,0.95,mean,hdi
modal - conditional,-0.26484971194379187,-0.29456363242052913,-0.23484757719530028,0.95,mean,hdi
modal - negation,-0.050600921637791174,-0.08032245132475341,-0.019389621231529323,0.95,mean,hdi
modal - question,-0.13845718575978716,-0.16760588389832376,-0.10786501373192736,0.95,mean,hdi
negation - question,-0.08785626412199599,-0.11643754525831038,-0.05777771309867736,0.95,mean,hdi
