workerid,proliferate.condition,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,catch_trials,subject_information.age,subject_information.american,subject_information.comments,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
2606,default,block1,kids,ai,0.01,17164,MC,5,MC,MC,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,emma,ai,0.07,13766,know,6,know,C,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,jayden,ai,0.03,10131,confess,7,confess,C,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,frank,ai,0.44,18172,pretend,8,pretend,C,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,mia,ai,0.01,8935,reveal,9,reveal,C,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,garage,ai,0.34,17689,MC,10,MC,MC,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,tony,ai,0.01,7394,prove,11,prove,C,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,owen,ai,0.01,6888,confirm,12,confirm,C,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,grace,ai,0.02,7708,discover,13,discover,C,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,zoe,ai,0.02,6573,hear,14,hear,C,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,danny,ai,0.01,6551,acknowledge,15,acknowledge,C,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,mary,ai,0.01,6238,demonstrate,16,demonstrate,C,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,jackson,ai,0.02,9805,admit,17,admit,C,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,isabella,ai,0.03,9066,be_right,18,be_right,C,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,charley,ai,0.62,9398,think,19,think,C,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,hat,ai,0.45,9389,MC,20,MC,MC,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,pizza,ai,0.7,11994,MC,21,MC,MC,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,josie,ai,0.02,6521,establish,22,establish,C,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,olivia,ai,0.03,8036,announce,23,announce,C,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,ballet,ai,0.57,11038,MC,24,MC,MC,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,muffins,ai,0.73,10013,MC,25,MC,MC,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,josh,ai,0.03,27006,suggest,26,suggest,C,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,emily,ai,0.02,6141,say,27,say,C,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,julian,ai,0.02,12209,be_annoyed,28,be_annoyed,C,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
2606,default,block1,jon,ai,0.04,12103,inform,29,inform,C,[],28,Yes,,Female,English,Chrome,Mac,900,1440,9.836216666666669,
